2025-04-06 18:51:26,436 - PokerDataExtractor - INFO - WebDriver initialized successfully
2025-04-06 18:51:26,436 - PokerDataExtractor - INFO - Hero set to: YourUsername
2025-04-06 18:51:27,354 - PokerDataExtractor - INFO - Navigated to https://www.pokernow.club/games/pgl5AEiLfXPzHUOqt_ZJgp4kE
2025-04-06 18:51:27,354 - PokerDataExtractor - INFO - Starting poker data tracking...
2025-04-06 18:51:46,711 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:47,764 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:48,825 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:49,911 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:50,967 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:52,036 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:53,095 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:54,217 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:55,293 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:56,378 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:57,467 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:58,555 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:59,636 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:00,726 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:01,837 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:03,181 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:04,274 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:05,391 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:06,491 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:07,571 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:08,655 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:09,727 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:10,809 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:11,888 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:12,981 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 120.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:14,060 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 120.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:15,134 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 120.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:16,219 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:17,294 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:18,377 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 200.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:19,499 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 200.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:20,588 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 200.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:21,684 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 200.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:22,770 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 200.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:23,846 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 200.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:24,928 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 200.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:26,039 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 200.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:27,135 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 200.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:28,205 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 200.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:29,280 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 200.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:52:29,477 - PokerDataExtractor - INFO - Tracking stopped by user.
2025-04-06 18:52:29,478 - PokerDataExtractor - INFO - Saved stats for 1 players.
2025-04-06 18:52:29,480 - urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)': /session/52f7505b159bafea4a285693b16e75bf
2025-04-06 18:52:33,572 - urllib3.connectionpool - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002776BE66330>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/52f7505b159bafea4a285693b16e75bf
2025-04-06 18:52:37,656 - urllib3.connectionpool - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002776BE66D50>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/52f7505b159bafea4a285693b16e75bf
2025-04-06 18:52:45,849 - PokerDataExtractor - INFO - Tracking ended, stats saved.
